id	lat	lng	households	buildDate	score	m2	p	min_sales	max_sales	avg_sales
5710	37.53990048	127.0948196	252	200111	4.2	111	34	66500	96300	78500
82065	37.5432472	127.09202	58	202009	0	39	12	31500	57000	45500
1173	37.5392513	127.128225	198	198811	3.5	68	21	21200	31100	26500
6689	37.53675868	127.1248669	67	200312	0	75	23	28000	58100	55500
37544	37.546028	127.090374	854	201809	4.8	83	25	58800	130000	73500
1470	37.53739702	127.0976224	1592	199703	4.4	82	25	46800	93400	64000
730	37.53349305	127.1146019	135	199312	3.3	80	24	33900	44500	40500
1420	37.53862742	127.0958725	1606	199612	4.4	104	31	58800	62400	61500
79676	37.5371749	127.125727	160	202403	0	0	0	NaN	NaN	NaN
9152	37.53941772	127.0946108	92	200606	4	101	31	63000	118900	104000
26026	37.54338123	127.0911532	48	201403	3	69	21	25500	51000	41500
7120	37.53919769	127.129053	112	199006	0	41	12	14000	65200	40500
2879	37.53343543	127.1182133	140	199803	4.3	80	24	39300	49000	43500
1453	37.53849865	127.0946639	421	199404	3.8	103	31	58300	59000	59000
20069	37.53247268	127.1150529	40	200803	4	98	30	52200	52200	52000
2883	37.5324823	127.1162703	132	198607	3.8	65	20	25400	35300	30000
57498	37.53657453	127.1277207	35	200607	0	94	28	44300	67100	52000
2088	37.53815511	127.1299835	649	199911	4.2	82	25	35000	54400	47500
2847	37.53213937	127.1168309	384	199911	3.9	59	18	26500	98200	48000
5859	37.53758024	127.0938979	130	200201	5	115	35	54600	54600	54500
10014	37.53930446	127.0919901	60	200509	4.5	105	32	58900	73800	68500
1383	37.53523601	127.1265434	277	198712	4.7	73	22	36500	45100	40500
15816	37.53316772	127.1227384	56	200308	5	84	25	39500	62300	52000
20781	37.5380928	127.1309338	30	200404	0	71	21	28500	38500	36500
13913	37.53783701	127.0927803	98	200109	3.8	75	23	41300	51200	46500
12021	37.53553723	127.1279469	64	200601	4	83	25	29200	53200	45000
19818	37.53524932	127.1275708	39	200705	5	66	20	22500	61000	45500
6052	37.53252719	127.121787	78	200212	4.5	111	34	46300	58200	49500
7664	37.53443246	127.1264063	151	200411	4.6	105	32	42800	81700	47500
27245	37.53701217	127.1304205	110	200703	4.5	118	36	51200	59800	52500
79675	37.5331019	127.123989	71	202011	0	70	21	60500	60500	60500
2846	37.53074973	127.1152992	557	199911	4	58	18	30700	92100	53500
9023	37.53527361	127.1284352	66	200409	4.2	84	25	38500	48500	48000
12136	37.53102403	127.1185353	166	200602	5	79	24	59500	86600	68500
1384	37.53842591	127.132781	156	199005	3.6	60	18	22600	41700	32500
36764	37.5373887	127.132035	999	201707	4.8	85	26	72500	211000	84000
19460	37.53186663	127.1227861	60	201002	4	109	33	38100	69800	51000
36889	37.53865433	127.0901947	197	201707	5	110	33	65000	123000	65500
14940	37.5387097	127.1335961	42	200303	5	28	8	11000	25400	17500
6626	37.53605299	127.0928369	220	200401	5	168	51	93500	122900	107000
11176	37.53795325	127.1332554	68	200412	4	72	22	31700	49900	44000
15502	37.52994424	127.1171217	114	200606	4.5	75	23	40500	96200	72500
1238	37.52942953	127.1127403	895	199507	3.8	79	24	39300	62200	52000
15789	37.5358219	127.1312693	60	200605	4.8	104	31	37400	38600	38500
14177	37.53336781	127.1277712	60	200207	4	85	26	49300	52900	51000
1456	37.53683654	127.0909325	273	199712	3.8	93	28	48100	52300	50000
4	37.535133	127.092901	354	199212	4.1	98	30	50300	52300	51500
642	37.53142474	127.1248852	349	200207	4.4	52	16	26000	56000	50000
9979	37.5321148	127.12659	1220	199909	4.3	85	26	42700	68400	51500
9027	37.53616624	127.1327453	39	200309	4	86	26	56300	57500	57000
1214	37.52938744	127.1189038	708	199511	4.2	88	27	50600	53200	51000
34160	37.53656898	127.1335471	230	201507	4.5	126	38	78700	116400	94000
7613	37.53515714	127.1327254	325	200410	4.1	40	12	26300	38100	28500
9153	37.53415056	127.0922146	67	200407	4.3	102	31	54500	105000	64500
5009	37.53599933	127.1337407	185	199902	4.8	76	23	36300	99500	50000
639	37.53436106	127.1323619	257	199905	4.1	89	27	41300	65800	50000
7632	37.53323463	127.1309118	203	200311	4.8	96	29	63200	80000	72000
18399	37.53335776	127.0921186	83	200906	4	90	27	43000	84500	71000
2493	37.53199273	127.0909629	444	198305	3.7	118	36	35800	80000	64500
4041	37.53137255	127.1330672	55	199508	0	82	25	31900	49000	38500
23724	37.53108706	127.133759	39	200904	0	87	26	27300	53200	50500
5565	37.53044581	127.1335271	87	200108	2.8	84	25	38900	43100	41500
5726	37.53017933	127.1333366	49	200202	3.5	100	30	40400	84000	49000
1137	37.5293956	127.133158	222	199903	3.8	83	25	37900	55300	46000
1333	37.5060209	127.11424	576	198312	4.2	88	27	36500	71200	56500
1335	37.5050883	127.116178	744	198410	4.2	87	26	36500	77300	60000
4027	37.51047361	127.1076085	227	199510	3.5	68	21	29700	65000	51500
11297	37.51135911	127.1087951	75	200510	5	85	26	63300	77000	71000
7157	37.51071925	127.106989	44	199911	0	37	11	19100	102000	72500
7734	37.51158671	127.1082028	69	200211	4.4	172	52	96900	110500	103000
10046	37.51032699	127.1063505	50	200304	3.5	214	65	82100	82100	82000
10801	37.50971128	127.1057118	36	199905	4	181	55	106100	106100	106000
16838	37.50908849	127.1049101	53	200711	4	174	53	127600	159000	130000
5728	37.50472542	127.1186747	845	200112	4.4	109	33	68400	91900	73500
428	37.5059574	127.119251	378	198501	4.2	89	27	34800	63500	54000
9072	37.50298237	127.1173736	106	200308	4.3	74	22	48700	66300	57500
